Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Spain,2,D,4,1,0,25,6,0
27/03/2026,Saudi Arabia,61,W,13,8,4,7,0,0
17/01/2026,Nigeria,26,L,5,1,0,5,4,0
14/01/2026,Senegal,12,L,3,1,0,12,4,1
10/01/2026,Ivory Coast,37,W,6,4,3,13,4,2
05/01/2026,Benin,90,W,12,7,3,8,3,1
29/12/2025,Angola,89,D,5,2,0,16,4,0
26/12/2025,South Africa,60,W,6,3,1,18,6,0
22/12/2025,Zimbabwe,130,W,35,11,2,8,3,1
09/12/2025,Jordan,63,L,20,7,0,16,6,3
06/12/2025,United Arab Emirates,68,D,6,2,1,7,2,1
02/12/2025,Kuwait,134,D,19,6,1,7,3,1
12/10/2025,Guinea-Bissau,132,W,7,3,1,6,2,0
08/10/2025,Djibouti,197,W,13,7,3,0,0,0
09/09/2025,Burkina Faso,62,D,8,2,0,3,0,0
05/09/2025,Ethiopia,144,W,17,10,2,6,2,0
25/03/2025,Sierra Leone,119,W,9,3,1,3,1,0
21/03/2025,Ethiopia,144,W,13,8,2,1,0,0
