Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
18/11/2025,El Salvador,100,W,21,10,3,7,2,0
13/11/2025,Guatemala,96,W,9,5,3,24,8,2
14/10/2025,Suriname,125,D,28,8,1,8,4,1
10/10/2025,El Salvador,100,W,7,2,1,10,1,0
08/09/2025,Guatemala,96,D,18,6,1,7,1,1
04/09/2025,Suriname,125,D,15,4,0,9,3,0
28/06/2025,Honduras,66,L,14,6,1,10,2,1
24/06/2025,Jamaica,71,W,8,4,4,15,5,1
20/06/2025,Guatemala,96,W,21,8,1,3,1,0
23/03/2025,Mexico,15,L,8,4,1,15,5,2
20/03/2025,USA,16,W,3,1,1,12,5,0
18/11/2024,Costa Rica,51,D,15,9,2,7,4,2
14/11/2024,Costa Rica,51,W,10,6,1,8,5,0
15/10/2024,Canada,30,L,4,2,1,13,11,2
12/10/2024,USA,16,L,13,3,0,11,4,2
