Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
18/01/2026,Morocco,8,W,13,7,1,20,4,0
14/01/2026,Egypt,31,W,12,4,1,3,1,0
09/01/2026,Mali,54,W,19,8,1,8,2,0
03/01/2026,Sudan,117,W,14,9,3,9,3,1
30/12/2025,Benin,92,W,10,6,3,7,4,0
27/12/2025,DR Congo,48,D,11,3,1,7,3,1
23/12/2025,Botswana,138,W,28,17,3,4,0,0
15/11/2025,Brazil,6,L,11,1,0,14,6,2
14/10/2025,Mauritania,110,W,14,12,4,8,4,0
10/10/2025,South Sudan,171,W,5,5,5,0,0,0
09/09/2025,DR Congo,48,W,11,6,3,7,4,2
05/09/2025,Sudan,117,W,9,5,2,6,1,0
29/08/2025,Sudan,117,D,15,6,1,10,3,1
26/08/2025,Morocco,8,D,12,4,1,12,4,1
23/08/2025,Uganda,82,W,7,3,1,16,5,0
19/08/2025,Sudan,117,D,8,1,0,5,1,0
12/08/2025,Congo,129,D,11,4,1,8,3,1
05/08/2025,Nigeria,26,W,8,2,1,6,1,0
