Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Canada,30,D,4,2,0,14,6,0
28/03/2026,Haiti,83,W,11,5,1,13,2,0
03/01/2026,Mali,52,L,13,4,1,8,1,1
30/12/2025,Tanzania,113,D,6,2,1,6,2,1
27/12/2025,Nigeria,26,L,8,2,2,15,5,3
23/12/2025,Uganda,88,W,15,6,3,9,1,1
07/12/2025,Qatar,55,W,13,7,3,12,4,0
04/12/2025,Palestine,95,D,11,7,2,13,3,2
01/12/2025,Syria,84,L,16,4,0,4,3,1
18/11/2025,Brazil,6,D,7,2,1,21,3,1
12/11/2025,Mauritania,115,D,14,3,1,4,1,1
13/10/2025,Namibia,120,W,10,4,3,12,5,0
10/10/2025,Sao Tome and Principe,196,W,16,12,6,6,4,0
08/09/2025,Equatorial Guinea,105,W,3,2,1,9,4,0
04/09/2025,Liberia,140,W,12,8,3,4,3,0
24/03/2025,Malawi,127,W,22,10,2,8,4,0
19/03/2025,Liberia,140,W,1,1,1,0,0,0
09/06/2024,Namibia,120,D,4,0,0,5,2,0
05/06/2024,Equatorial Guinea,105,W,9,3,1,7,1,0
