Date,Opponent,FIFA Rank at Time,Result (W/L/D),Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Morocco,8,L,11,7,1,6,4,2
18/11/2025,Mexico,15,W,14,7,2,9,4,1
15/11/2025,USA,16,L,8,3,1,8,4,2
09/09/2025,Peru,53,W,7,5,1,12,3,0
10/06/2025,Brazil,6,L,5,1,0,11,4,1
05/06/2025,Uruguay,17,W,12,5,2,5,1,0
25/03/2025,Colombia,13,D,21,6,2,10,5,2
20/03/2025,Chile,54,W,16,5,1,9,3,0
19/11/2024,Bolivia,76,D,13,4,2,11,5,2
14/11/2024,Argentina,3,W,8,2,2,9,1,1
10/10/2024,Ecuador,23,D,3,2,0,14,5,0
10/09/2024,Brazil,6,W,7,2,1,9,3,0
06/09/2024,Uruguay,17,D,8,2,0,12,1,0
02/07/2024,Costa Rica (Copa Am. GS),51,L,17,6,1,2,2,2
28/06/2024,Brazil (Copa Am. GS),6,L,15,6,1,17,6,4
24/06/2024,Colombia (Copa Am. GS),13,L,11,3,1,11,3,2
16/06/2024,Panama,33,W,8,4,1,8,1,0
