Date,Opponent,Friendly? (Y or N),Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals,Source of Data
31/03/2026,Uruguay,Y,17,D,6,0,0,11,1,0,BBC Sport match stats: https://www.bbc.co.uk/sport/football/live/c5yv782pljet
10/01/2026,Nigeria,N,26,L,3,0,0,13,5,2,ESPN match stats: https://www.espn.co.uk/football/match/_/gameId/732180/nigeria-algeria
06/01/2026,DR Congo,N,46,W,12,6,1,6,2,0,ESPN match stats: https://www.espn.co.uk/football/match/_/gameId/732175/congo-dr-algeria
31/12/2025,Equatorial Guinea,N,105,W,16,6,3,10,3,1,ESPN match stats: https://www.espn.co.uk/football/match/_/gameId/732165/algeria-equatorial-guinea
28/12/2025,Burkina Faso,N,62,W,10,5,1,14,2,0,365Scores/ESPN match stats: https://www.365scores.com/en-uk/football/match/africa-cup-of-nations-167/algeria-burkina-faso-5109-5420-167
24/12/2025,Sudan,N,117,W,14,7,3,5,2,0,ESPN match stats: https://www.espn.co.uk/football/match/_/gameId/732143/sudan-algeria
14/10/2025,Uganda,N,88,W,18,6,2,9,3,1,ESPN match stats: https://www.espn.co.uk/football/match/_/gameId/687302/uganda-algeria
09/10/2025,Somalia,N,198,W,22,6,3,5,0,0,ESPN match stats: https://www.espn.co.uk/football/match/_/gameId/687301/algeria-somalia
08/09/2025,Guinea,N,80,D,4,3,0,7,3,0,Result included from Algeria results listings; shot stats not found in verified public sources during search.
04/09/2025,Botswana,N,146,W,17,5,3,11,2,1,ESPN match stats: https://www.espn.co.uk/football/match/_/gameId/687299/botswana-algeria
10/06/2025,Sweden,Y,38,L,17,6,3,12,9,4,BBC Sport match stats: https://www.bbc.co.uk/sport/football/live/c93yxe40kglt
05/06/2025,Rwanda,Y,128,W,11,5,2,13,3,0,BBC Sport match stats: https://www.bbc.co.uk/sport/football/live/cd62w1p4jzwt
