Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Uruguay,17,D,7,0,0,11,1,0
27/03/2026,Guatemala,96,W,25,9,7,5,3,0
10/01/2026,Nigeria,26,L,3,0,0,13,5,2
06/01/2026,DR Congo,46,W,12,6,1,6,2,0
31/12/2025,Equatorial Guinea,105,W,16,6,3,10,3,1
28/12/2025,Burkina Faso,62,W,10,5,1,14,2,0
24/12/2025,Sudan,117,W,14,7,3,5,2,0
12/12/2025,United Arab Emirates,68,D,8,4,1,6,3,1
09/12/2025,Iraq,57,W,14,5,2,5,1,0
06/12/2025,Bahrain,81,W,11,5,5,4,3,1
03/12/2025,Sudan,117,D,5,1,0,10,0,0
18/11/2025,Saudi Arabia,61,W,10,4,2,6,2,0
14/10/2025,Uganda,88,W,8,5,2,7,3,1
09/10/2025,Somalia,198,W,18,9,3,2,1,0
08/09/2025,Guinea,80,D,4,3,0,7,3,0
04/09/2025,Botswana,146,W,16,11,3,11,5,1
10/06/2025,Sweden,41,L,17,6,3,12,9,4
25/03/2025,Mozambique,100,W,17,13,5,2,1,1
