Team,Date,Opponent,FIFA Rank at Time,Result (W/L/D),Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
Paraguay,31/03/2026,Morocco,8,L,11,7,1,6,4,2
Paraguay,18/11/2025,Mexico,15,W,14,7,2,9,4,1
Paraguay,15/11/2025,USA,16,L,8,3,1,8,4,2
Paraguay,09/09/2025,Peru,53,W,7,5,1,12,3,0
Paraguay,10/06/2025,Brazil,6,L,5,1,0,11,4,1
Paraguay,05/06/2025,Uruguay,17,W,12,5,2,5,1,0
Paraguay,25/03/2025,Colombia,13,D,21,6,2,10,5,2
Paraguay,20/03/2025,Chile,54,W,16,5,1,9,3,0
Paraguay,19/11/2024,Bolivia,76,D,13,4,2,11,5,2
Paraguay,14/11/2024,Argentina,3,W,8,2,2,9,1,1
Paraguay,10/10/2024,Ecuador,23,D,3,2,0,14,5,0
Paraguay,10/09/2024,Brazil,6,W,7,2,1,9,3,0
Paraguay,06/09/2024,Uruguay,17,D,8,2,0,12,1,0
Paraguay,02/07/2024,Costa Rica (Copa Am. GS),51,L,17,6,1,2,2,2
Paraguay,28/06/2024,Brazil (Copa Am. GS),6,L,15,6,1,17,6,4
Paraguay,24/06/2024,Colombia (Copa Am. GS),13,L,11,3,1,11,3,2
Paraguay,16/06/2024,Panama,33,W,8,4,1,8,1,0
Scotland,31/03/2026,Ivory Coast,34,L,14,4,0,12,3,1
Scotland,28/03/2026,Japan,18,L,8,3,0,18,7,1
Scotland,18/11/2025,Denmark,18,W,10,5,4,18,3,2
Scotland,15/11/2025,Greece,48,L,12,6,2,18,10,3
Scotland,12/10/2025,Belarus,103,W,12,6,2,22,3,1
Scotland,09/10/2025,Greece,48,W,8,3,3,15,3,1
Scotland,08/09/2025,Belarus,103,W,12,9,2,5,3,0
Scotland,05/09/2025,Denmark,21,D,11,1,0,16,2,0
Scotland,09/06/2025,Liechtenstein,207,W,19,6,4,1,0,0
Scotland,06/06/2025,Iceland,74,L,15,5,1,5,3,3
Scotland,23/03/2025,Greece (NL Playoff),44,L,11,5,0,13,5,3
Scotland,20/03/2025,Greece (NL Playoff),44,W,8,2,1,24,1,0
Scotland,18/11/2024,Poland,35,W,16,7,2,19,6,1
Scotland,15/11/2024,Croatia,13,W,8,2,1,12,4,0
Scotland,12/10/2024,Croatia,12,L,9,2,1,17,6,2
Scotland,15/10/2024,Portugal,8,D,4,2,0,14,3,0
Scotland,08/09/2024,Portugal,6,L,5,2,1,26,7,2
Scotland,05/09/2024,Poland,35,L,11,3,2,10,3,3
Scotland,23/06/2024,Hungary (Euro 2024 GS),30,L,4,0,0,14,5,1
Scotland,19/06/2024,Switzerland (Euro 2024 GS),19,D,12,3,1,11,4,1
Algeria,31/03/2026,Uruguay,17,D,7,0,0,11,1,0
Algeria,27/03/2026,Guatemala,96,W,25,9,7,5,3,0
Algeria,10/01/2026,Nigeria,26,L,3,0,0,13,5,2
Algeria,06/01/2026,DR Congo,46,W,12,6,1,6,2,0
