Date,Opponent,Friendly? (Y or N),Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals,Source of Data
31/03/2026,Curaçao,Y,82,W,11,6,5,7,4,1,https://www.365scores.com/en-uk/football/match/fifa-series-9034/australia-curacao-2380-24397-9034
27/03/2026,Cameroon,Y,45,W,8,4,1,7,1,0,https://www.bbc.co.uk/sport/football/live/c4g5zz8j9zdt
18/11/2025,Colombia,Y,13,L,2,1,0,16,8,3,https://www.espn.com/soccer/team/results/_/id/2751/australia
15/11/2025,Venezuela,Y,49,L,9,4,0,10,5,1,https://www.365scores.com/en-uk/football/match/friendly-international-570/australia-venezuela-2380-5072-570
15/10/2025,United States,Y,16,L,9,3,1,10,4,2,https://www.givemesport.com/united-states-australia-player-ratings-and-match-highlights/
10/06/2025,Saudi Arabia,N,61,W,4,3,2,14,6,1,https://www.365scores.com/en-uk/football/match/afc-wc-qualification-605/australia-saudi-arabia-2380-5087-605
05/06/2025,Japan,N,18,W,6,3,1,13,1,0,https://footystats.org/international/japan-national-team-vs-australia-national-team-h2h-stats
25/03/2025,China PR,N,94,W,8,3,2,12,1,0,https://www.fotmob.com/en-GB/matches/china-vs-australia/1asyq3
20/03/2025,Indonesia,N,122,W,9,7,5,11,4,1,https://www.365scores.com/en-uk/football/match/afc-wc-qualification-605/australia-indonesia-2380-6499-605
19/11/2024,Bahrain,N,91,D,8,4,2,8,3,2,https://www.fotmob.com/matches/bahrain-vs-australia/1be9ft
10/09/2024,Indonesia,N,122,D,8,4,0,2,2,0,https://www.facebook.com/ScoreZoneB/posts/122183318534139315/
05/09/2024,Bahrain,N,91,L,7,2,0,3,1,1,https://www.facebook.com/ScoreZoneB/posts/122182078964139315/
11/06/2024,Palestine,N,95,W,10,6,5,11,2,0,https://www.365scores.com/en-uk/football/match/afc-wc-qualification-605/australia-palestine-2380-18361-605
06/06/2024,Bangladesh,N,181,W,15,4,2,2,0,0,https://www.365scores.com/football/match/afc-wc-qualification-605/australia-bangladesh-2380-13895-605
