Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Curaçao,82,W,11,6,5,7,4,1
27/03/2026,Cameroon,45,W,8,4,1,7,1,0
18/11/2025,Colombia,13,L,2,1,0,16,8,3
14/11/2025,Venezuela,49,L,9,4,0,10,5,1
14/10/2025,United States,16,L,9,3,1,11,4,2
10/10/2025,Canada,30,W,5,1,1,17,8,0
09/09/2025,New Zealand,85,W,13,6,3,8,4,1
05/09/2025,New Zealand,85,W,7,3,1,9,4,0
10/06/2025,Saudi Arabia,61,W,4,3,2,14,6,1
05/06/2025,Japan,18,W,6,3,1,13,1,0
25/03/2025,China,94,W,7,2,2,12,1,0
20/03/2025,Indonesia,122,W,9,7,5,11,4,1
19/11/2024,Bahrain,91,D,8,4,2,7,3,2
14/11/2024,Saudi Arabia,61,D,14,2,0,4,1,0
15/10/2024,Japan,18,D,2,1,1,13,4,1
10/10/2024,China,94,W,18,4,3,6,1,1
10/09/2024,Indonesia,122,D,19,5,0,5,2,0
05/09/2024,Bahrain,91,L,11,4,0,4,2,1
11/06/2024,Palestine,95,W,10,6,5,11,2,0
06/06/2024,Bangladesh,181,W,15,4,2,2,0,0
