Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,South Korea,25,W,5,1,1,11,2,0
18/11/2025,Bosnia and Herzegovina,,D,12,5,1,7,1,1
15/11/2025,Cyprus,126,W,13,7,2,3,0,0
12/10/2025,Romania,,L,3,1,0,9,2,1
09/10/2025,San Marino,,W,25,14,10,4,1,0
09/09/2025,Bosnia and Herzegovina,,W,9,4,2,14,3,1
06/09/2025,Cyprus,126,W,10,3,1,16,5,0
07/06/2025,Romania,,W,14,9,2,10,3,1
23/03/2025,Serbia,,L,12,5,0,13,4,2
17/11/2024,Slovenia,,D,22,4,1,9,3,1
14/11/2024,Kazakhstan,,W,23,8,2,6,1,0
13/10/2024,Norway,31,W,16,10,5,8,1,1
10/10/2024,Kazakhstan,,W,29,8,4,5,1,0
09/09/2024,Norway,31,L,9,3,1,6,4,2
06/09/2024,Slovenia,,D,11,4,1,8,1,1
02/07/2024,Turkey,,L,21,5,1,6,3,2
25/06/2024,Netherlands,,W,9,5,3,11,2,2
