Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Mexico,15,D,5,3,1,5,3,1
18/11/2025,Liechtenstein,206,W,23,13,7,2,1,0
15/11/2025,Kazakhstan,110,D,20,8,1,9,3,1
13/10/2025,Wales,37,W,16,6,4,9,3,2
10/10/2025,North Macedonia,67,D,25,5,0,3,0,0
07/09/2025,Kazakhstan,110,W,35,15,6,5,2,0
04/09/2025,Liechtenstein,206,W,28,13,6,0,0,0
09/06/2025,Wales,37,W,18,4,4,12,8,3
06/06/2025,North Macedonia,67,D,17,4,1,7,2,1
23/03/2025,Ukraine,32,W,19,6,3,6,1,0
20/03/2025,Ukraine,32,L,9,4,1,12,7,3
17/11/2024,Israel,77,L,12,4,0,10,4,1
14/11/2024,Italy,12,L,11,3,0,11,4,1
14/10/2024,France,1,L,20,7,1,14,4,2
10/10/2024,Italy,12,D,12,4,2,8,4,2
09/09/2024,France,1,L,9,4,0,25,9,2
06/09/2024,Israel,77,W,25,8,3,10,2,1
01/07/2024,France,1,L,5,2,0,18,2,1
26/06/2024,Ukraine,32,D,12,4,0,13,4,0
22/06/2024,Romania,56,W,20,9,2,14,5,0
