Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Italy,12,D,30,11,1,9,3,1
26/03/2026,Wales,37,D,14,5,1,19,3,1
18/11/2025,Austria,25,D,8,1,1,10,3,1
15/11/2025,Romania,55,W,16,4,3,9,3,1
09/10/2025,Cyprus,128,D,14,6,2,14,3,2
09/09/2025,Austria,25,L,16,3,1,11,5,2
06/09/2025,San Marino,211,W,22,10,6,4,1,0
07/06/2025,San Marino,211,W,21,6,1,5,0,0
03/06/2025,Northern Ireland,71,D,10,5,1,9,3,1
24/03/2025,Cyprus,128,W,14,6,2,11,4,1
21/03/2025,Romania,55,W,5,1,1,15,3,0
19/11/2024,Netherlands,6,D,8,3,1,12,2,1
16/11/2024,Germany,10,L,7,3,0,23,13,7
14/10/2024,Hungary,42,L,12,3,0,12,5,2
11/10/2024,Germany,10,L,8,1,1,12,4,2
10/09/2024,Hungary,42,D,7,2,0,20,5,0
07/09/2024,Netherlands,6,L,4,3,2,28,9,5
