Date,Opponent,FIFA Rank at Time,Result (W/L/D),Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Croatia,11,W,13,7,3,12,3,1
26/03/2026,France,1,L,17,4,1,7,3,2
18/11/2025,Tunisia,44,D,21,3,1,7,2,1
15/11/2025,Senegal,14,W,14,6,2,11,1,0
14/10/2025,Japan,18,L,9,4,2,15,6,3
10/10/2025,South Korea,25,W,14,7,5,4,1,0
09/09/2025,Bolivia,76,L,10,3,0,23,10,1
04/09/2025,Chile,54,W,22,7,3,3,0,0
10/06/2025,Paraguay,40,W,11,4,1,5,1,0
05/06/2025,Ecuador,23,D,3,2,0,7,3,0
25/03/2025,Argentina,3,L,3,1,1,12,7,4
20/03/2025,Colombia,13,W,17,7,2,10,3,1
19/11/2024,Uruguay,17,D,18,3,1,8,2,1
14/11/2024,Venezuela,49,D,13,3,1,12,5,1
15/10/2024,Peru,53,W,18,8,4,3,2,0
10/10/2024,Chile,54,W,14,4,2,7,1,1
06/09/2024,Ecuador,23,W,10,3,1,9,2,0
10/09/2024,Paraguay,40,L,9,3,0,7,2,1
06/07/2024,Uruguay (Copa Am. QF),17,D,7,3,0,12,1,0
02/07/2024,Colombia (Copa Am. GS),13,D,16,4,1,10,5,1
