Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2025-11-18,Venezuela,48,W,8,4,2,10,3,0
2025-11-13,Ecuador,23,D,4,1,0,4,0,0
2025-10-14,Colombia,13,D,7,2,0,11,3,0
2025-10-10,Australia,26,L,17,8,0,5,1,1
2025-09-09,Wales,32,W,12,2,1,6,2,0
2025-09-05,Romania,47,W,16,8,3,11,2,0
2025-06-29,Guatemala,106,D,4,1,1,8,2,1
2025-06-24,El Salvador,81,W,14,4,2,2,0,0
2025-06-21,Curacao,86,D,11,4,1,6,2,1
2025-06-17,Honduras,65,W,20,8,6,7,4,0
2025-06-10,Ivory Coast,41,D,8,0,0,10,1,0
2025-06-07,Ukraine,27,W,12,6,4,13,8,2
2025-03-23,United States,15,W,10,4,2,9,3,1
2025-03-20,Mexico,16,L,9,3,0,12,5,2
2024-11-19,Suriname,137,W,16,7,3,5,1,0
2024-11-15,Suriname,137,W,12,4,1,6,1,0
2024-10-15,Panama,31,W,11,4,2,8,3,1
2024-09-10,Mexico,16,D,5,1,0,14,2,0
2024-09-07,United States,15,W,17,7,2,8,2,1
2024-07-13,Uruguay,11,D,14,6,2,12,5,2
