Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
29/03/2026,France,1,L,13,5,1,14,5,3
27/03/2026,Croatia,11,L,14,5,1,12,3,2
10/09/2025,Venezuela,49,W,13,9,6,11,8,3
05/09/2025,Bolivia,76,W,12,8,3,9,3,0
11/06/2025,Argentina,3,D,11,5,1,10,3,1
06/06/2025,Peru,53,D,15,0,0,4,1,0
21/03/2025,Brazil,6,L,10,3,1,17,7,2
15/07/2024,Argentina,3,L,19,9,0,11,5,1
11/07/2024,Uruguay,17,W,11,3,1,10,3,0
07/07/2024,Panama,33,W,7,5,5,15,2,0
03/07/2024,Brazil,6,D,13,6,1,7,3,1
29/06/2024,Costa Rica,51,W,16,8,3,5,0,0
25/06/2024,Paraguay,40,W,12,3,2,11,2,1
