Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Jamaica,71,W,19,3,1,6,1,0
06/01/2026,Algeria,28,L,5,2,0,8,3,1
30/12/2025,Botswana,146,W,28,6,3,6,1,0
27/12/2025,Senegal,14,D,3,3,1,7,3,1
23/12/2025,Benin,90,W,11,3,1,12,2,0
16/11/2025,Nigeria,26,D,10,8,1,11,2,1
13/11/2025,Cameroon,45,W,10,2,1,7,3,0
14/10/2025,Sudan,117,W,9,3,1,3,0,0
10/10/2025,Togo,121,W,4,1,1,3,2,0
09/09/2025,Senegal,14,L,7,4,2,11,6,3
05/09/2025,South Sudan,170,W,11,8,4,7,5,1
17/08/2025,Morocco,8,L,14,3,1,6,4,3
14/08/2025,Angola,89,W,13,6,2,20,7,0
07/08/2025,Zambia,92,W,6,2,2,4,2,0
03/08/2025,Kenya,111,L,20,2,0,8,2,1
