Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2026-03-31,Brazil,6,L,12,3,1,13,7,3
2026-03-26,Colombia,13,W,12,3,2,14,5,1
2025-11-17,Montenegro,75,W,17,7,3,12,5,2
2025-11-14,Faroe Islands,127,W,20,4,3,4,4,1
2025-10-12,Gibraltar,196,W,28,10,3,1,0,0
2025-10-09,Czechia,41,D,10,2,0,11,2,0
2025-09-08,Montenegro,75,W,32,13,4,3,1,0
2025-09-05,Faroe Islands,127,W,26,8,1,6,3,0
2025-06-09,Czechia,41,W,18,11,5,14,5,1
2025-06-06,Gibraltar,196,W,30,13,7,3,0,0
2025-03-23,France,1,L,5,0,0,28,8,2
2025-03-20,France,1,W,8,4,2,16,6,0
2024-11-18,Portugal,5,D,15,8,1,12,5,1
2024-11-15,Scotland,43,L,12,4,0,8,2,1
2024-10-15,Poland,35,D,15,8,3,14,6,3
2024-10-12,Scotland,43,W,17,6,2,9,2,1
2024-09-08,Poland,35,W,23,6,1,11,2,0
2024-09-05,Portugal,5,L,13,4,1,15,6,2
2024-06-24,Italy,12,D,6,4,1,13,3,1
2024-06-19,Albania,65,D,22,10,2,15,7,2
