Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Australia,27,L,7,4,1,11,6,5
27/03/2026,China,94,L,8,1,0,11,3,2
18/11/2025,Jamaica,71,D,16,5,0,13,1,0
13/11/2025,Bermuda,166,W,27,15,7,5,1,0
14/10/2025,Trinidad and Tobago,102,D,9,1,1,16,6,1
10/10/2025,Jamaica,71,W,7,4,2,18,7,0
09/09/2025,Bermuda,166,W,22,10,3,6,3,2
05/09/2025,Trinidad and Tobago,102,D,5,2,0,13,6,0
24/06/2025,Honduras,66,L,10,3,1,10,3,2
21/06/2025,Canada,30,D,6,2,1,11,4,1
17/06/2025,El Salvador,100,D,6,3,0,6,1,0
