Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2026-03-31,Denmark,20,D,9,4,2,22,8,2
2026-03-26,Republic of Ireland,59,D,12,3,2,10,3,2
2025-11-17,Gibraltar,203,W,25,10,6,0,0,0
2025-11-13,San Marino,211,W,14,1,1,2,0,0
2025-10-12,Faroe Islands,123,L,14,1,1,6,3,2
2025-10-09,Croatia,11,D,11,2,0,10,2,0
2025-09-05,Montenegro,81,W,20,10,2,22,5,0
2025-06-09,Croatia,11,L,14,5,1,18,11,5
2025-06-06,Montenegro,81,W,13,7,2,6,3,0
2025-03-25,Gibraltar,203,W,29,12,4,1,0,0
2025-03-22,Faroe Islands,123,W,16,7,2,5,3,1
2024-11-19,Georgia,72,W,14,6,2,11,5,1
2024-11-16,Albania,64,D,8,2,0,9,2,0
2024-10-14,Ukraine,32,D,15,7,1,13,3,1
2024-10-11,Albania,64,W,19,5,2,7,2,0
2024-09-10,Ukraine,32,W,14,5,3,19,5,2
2024-09-07,Georgia,72,L,10,5,1,13,6,4
2024-06-26,Türkiye,22,L,12,7,1,18,5,2
2024-06-22,Georgia,72,D,27,12,1,5,1,1
2024-06-18,Portugal,5,L,5,1,1,19,8,2
