Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2026-03-31,Netherlands,7,D,16,3,1,2,1,1
2026-03-27,Morocco,8,D,8,2,1,12,3,1
2025-11-18,New Zealand,85,W,24,8,2,10,2,0
2025-11-14,Canada,29,D,4,0,0,4,1,0
2025-10-15,Mexico,16,D,7,5,1,13,4,1
2025-10-10,USA,15,D,8,4,1,11,5,1
2025-09-09,Argentina,3,W,11,4,1,8,0,0
2025-09-04,Paraguay,39,D,6,1,0,7,3,0
2025-06-10,Peru,53,D,10,3,0,13,5,0
2025-06-05,Brazil,5,D,7,3,0,3,2,0
2025-03-25,Chile,54,D,7,2,0,16,2,0
2025-03-21,Venezuela,49,W,16,6,2,10,6,1
2024-11-19,Colombia,13,W,4,1,1,26,7,0
2024-11-14,Bolivia,76,W,29,15,4,1,1,0
2024-10-15,Uruguay,15,D,8,4,0,11,4,0
2024-10-10,Paraguay,39,D,15,5,0,3,2,0
2024-09-10,Peru,53,W,10,4,1,2,1,0
2024-09-06,Brazil,5,L,6,2,0,9,3,1
2024-07-04,Argentina,3,D,8,2,1,8,2,1
2024-06-30,Mexico,16,D,8,3,0,19,3,0
