Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2026-03-31,Japan,18,L,14,4,0,7,3,1
2026-03-27,Uruguay,17,D,13,5,1,9,1,1
2025-11-16,Albania,64,W,15,10,2,7,3,0
2025-11-13,Serbia,39,W,19,6,2,7,1,0
2025-10-14,Latvia,137,W,24,7,5,6,1,0
2025-10-09,Wales,37,W,17,5,3,10,2,0
2025-09-09,Serbia,39,W,24,12,5,3,0,0
2025-09-06,Andorra,173,W,11,7,2,2,0,0
2025-06-10,Senegal,14,L,8,4,1,11,9,3
2025-06-07,Andorra,173,W,20,10,1,4,0,0
2025-03-24,Latvia,137,W,27,8,3,3,1,0
2025-03-21,Albania,64,W,12,6,2,3,0,0
2024-11-17,Republic of Ireland,59,W,22,7,5,1,1,0
2024-11-14,Greece,47,W,9,5,3,10,5,0
2024-10-13,Finland,73,W,15,6,3,13,3,1
2024-10-10,Greece,47,L,12,2,1,12,3,2
2024-09-10,Finland,73,W,22,8,2,2,0,0
2024-09-07,Republic of Ireland,59,W,16,9,2,6,1,0
2024-07-14,Spain,2,L,9,4,1,16,6,2
2024-07-10,Netherlands,7,W,9,5,2,7,2,1
