Date,Opponent,Opponent Rank,Result,Shots,On Target,Goals,Opponent Shots,Opponent On Target,Opponent Goals
2026-03-29,Colombia,13,W,14,5,3,13,5,1
2026-03-26,Brazil,6,W,7,3,2,17,4,1
2025-11-16,Azerbaijan,127,W,17,4,3,2,1,1
2025-11-13,Ukraine,32,W,25,10,4,1,0,0
2025-10-13,Iceland,75,D,20,9,2,4,2,2
2025-10-10,Azerbaijan,127,W,33,9,3,1,0,0
2025-09-09,Iceland,75,W,20,8,2,7,2,1
2025-09-05,Ukraine,32,W,16,6,2,8,3,0
2025-06-08,Germany,10,W,16,9,2,20,6,0
2025-06-05,Spain,2,L,24,9,4,16,8,5
2025-03-23,Croatia,11,W*,28,8,2,5,0,0
2025-03-20,Croatia,11,L,16,6,0,8,4,2
2024-11-17,Italy,12,W,6,4,3,10,4,1
2024-11-14,Israel,77,D,24,8,0,3,1,0
2024-10-14,Belgium,9,W,14,4,2,20,7,1
2024-10-10,Israel,77,W,15,5,4,1,1,1
2024-09-09,Belgium,9,W,25,9,2,9,4,0
2024-09-06,Italy,12,L,12,3,1,11,6,3
2024-07-01,Belgium,9,W,19,2,1,5,2,0
2024-06-25,Poland,35,D,19,8,1,10,3,1
