Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2026-03-30,Ghana,74,W,23,6,2,6,1,1
2026-03-27,Switzerland,19,W,22,9,4,7,3,3
2025-11-17,Slovakia,48,W,22,10,6,6,2,0
2025-11-14,Luxembourg,98,W,14,7,2,7,1,0
2025-10-13,Northern Ireland,70,W,11,2,1,12,3,0
2025-10-10,Luxembourg,98,W,26,9,4,1,1,0
2025-09-07,Northern Ireland,70,W,11,6,3,4,1,1
2025-09-04,Slovakia,48,L,11,4,0,8,5,2
2025-06-08,France,1,L,20,6,0,15,8,2
2025-06-04,Portugal,5,L,9,5,1,13,6,2
2025-03-23,Italy,12,D,22,8,3,9,3,3
2025-03-20,Italy,12,W,10,4,2,13,6,1
2024-11-19,Hungary,42,D,12,3,1,16,6,1
2024-11-16,Bosnia & Herzegovina,65,W,23,13,7,7,3,0
2024-10-14,Netherlands,7,W,13,5,1,3,1,0
2024-10-11,Bosnia & Herzegovina,65,W,13,5,2,11,3,1
2024-09-10,Netherlands,7,D,17,6,2,11,5,2
2024-09-07,Hungary,42,W,23,9,5,6,1,0
2024-07-05,Spain,2,L,23,5,1,18,6,2
2024-06-29,Denmark,20,W,15,9,2,11,2,0
