Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
30/03/2026,Germany,10,L,6,1,1,23,6,2
27/03/2026,Austria,24,L,5,1,1,11,7,5
18/11/2025,South Korea,25,L,12,1,0,7,4,1
14/11/2025,Japan,18,L,7,2,0,14,5,2
12/10/2025,Comoros,109,W,2,2,1,4,1,0
08/10/2025,Central African Republic,139,W,18,11,5,2,0,0
08/09/2025,Mali,52,W,6,2,1,9,4,0
04/09/2025,Chad,183,D,6,2,1,8,2,1
24/03/2025,Madagascar,104,W,7,5,3,7,2,0
21/03/2025,Chad,183,W,10,5,5,1,0,0
18/11/2024,Niger,114,L,12,3,1,11,5,2
15/11/2024,Angola,89,D,8,1,1,13,4,1
15/10/2024,Sudan,117,L,7,1,0,11,5,2
10/10/2024,Sudan,117,D,18,7,0,6,4,0
09/09/2024,Niger,114,D,6,3,1,14,3,1
05/09/2024,Angola,89,L,20,5,0,12,5,1
10/06/2024,Central African Republic,139,W,12,6,4,8,5,3
