Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Costa Rica,51,W,9,7,5,5,2,0
18/11/2025,Uzbekistan,50,D,10,2,0,6,1,0
10/10/2025,Russia,36,L,8,2,1,14,5,2
10/06/2025,North Korea,118,W,25,8,3,8,1,0
05/06/2025,Qatar,55,L,6,3,0,6,3,1
25/03/2025,Uzbekistan,50,D,20,8,2,13,4,2
20/03/2025,United Arab Emirates,68,W,15,8,2,6,1,0
19/11/2024,Kyrgyzstan,107,W,14,5,3,8,3,2
14/11/2024,North Korea,118,W,19,13,3,17,4,2
15/10/2024,Qatar,55,W,18,8,4,11,1,1
10/10/2024,Uzbekistan,50,D,10,5,0,10,1,0
10/09/2024,United Arab Emirates,68,W,12,3,1,12,2,0
05/09/2024,Kyrgyzstan,107,W,20,3,1,7,6,0
