Date,Opponent,Friendly? (Y or N),Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals,Source of Data
01/04/2026,Bolivia,N,76,W,6,3,2,15,6,1,ESPN/FotMob match page: https://www.fotmob.com/en-GB/matches/bolivia-vs-iraq/1469uz
12/12/2025,Jordan,N,63,L,21,3,0,6,4,1,National-Football-Teams/FotMob: https://www.fotmob.com/en-GB/matches/jordan-vs-iraq/14b0ax
09/12/2025,Algeria,N,28,L,5,1,0,14,5,2,National-Football-Teams/FotMob: https://www.fotmob.com/en-GB/matches/iraq-vs-algeria/17uni9
06/12/2025,Sudan,N,117,W,10,4,2,12,1,0,National-Football-Teams/FotMob: https://www.fotmob.com/en-GB/matches/sudan-vs-iraq/1489lb
03/12/2025,Bahrain,N,91,W,10,5,2,11,1,1,National-Football-Teams/FotMob: https://www.fotmob.com/en-GB/matches/iraq-vs-bahrain/14waa9
18/11/2025,United Arab Emirates,N,68,W,10,2,2,13,4,1,ESPN/National-Football-Teams/FotMob: https://www.fotmob.com/en-GB/matches/uae-vs-iraq/144a6f
14/10/2025,Saudi Arabia,N,61,D,4,1,0,15,4,0,ESPN/FotMob: https://www.fotmob.com/en-GB/matches/iraq-vs-saudi-arabia/1j6ka4
11/10/2025,Indonesia,N,122,W,7,2,1,9,1,0,ESPN/FotMob: https://www.fotmob.com/en-GB/matches/iraq-vs-indonesia/17wh30
07/09/2025,Thailand,Y,93,W,15,3,1,11,4,0,National-Football-Teams/FotMob: https://www.fotmob.com/en-GB/matches/thailand-vs-iraq/14417z
04/09/2025,Hong Kong,Y,155,W,22,7,2,6,3,1,National-Football-Teams/FotMob: https://www.fotmob.com/en-GB/matches/iraq-vs-hong-kong/17vycd
