Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
01/04/2026,Bolivia,76,W,6,3,2,15,6,1
12/12/2025,Jordan,63,L,21,3,0,6,4,1
10/12/2025,Algeria,28,L,5,1,0,14,5,2
07/12/2025,Sudan,117,W,10,4,2,12,1,0
03/12/2025,Bahrain,91,W,10,5,2,11,1,1
19/11/2025,United Arab Emirates,68,W,10,2,2,13,4,1
14/11/2025,United Arab Emirates,68,D,10,5,1,19,4,1
15/10/2025,Saudi Arabia,61,D,4,1,0,15,4,0
12/10/2025,Indonesia,122,W,7,2,1,9,1,0
11/06/2025,Jordan,63,W,7,4,1,9,0,0
06/06/2025,South Korea,25,L,5,2,0,13,7,2
26/03/2025,Palestine,95,L,13,3,1,15,5,2
21/03/2025,Kuwait,134,D,18,7,2,4,2,2
28/12/2024,Saudi Arabia,61,L,13,3,1,9,5,3
26/12/2024,Bahrain,91,L,11,3,0,7,4,2
22/12/2024,Yemen,149,W,19,4,1,5,0,0
20/11/2024,Oman,79,W,5,3,1,9,3,0
15/11/2024,Jordan,63,D,10,2,0,9,4,0
15/10/2024,South Korea,25,L,8,2,2,7,3,3
