Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Scotland,43,W,12,3,1,14,4,0
28/03/2026,South Korea,25,W,13,8,4,12,2,0
10/01/2026,Egypt,29,L,13,4,2,6,4,3
06/01/2026,Burkina Faso,62,W,21,4,3,8,2,0
31/12/2025,Gabon,87,W,21,5,3,9,3,2
28/12/2025,Cameroon,45,D,13,2,1,12,2,1
24/12/2025,Mozambique,101,W,15,5,1,5,2,0
14/10/2025,Kenya,111,W,14,8,3,1,0,0
10/10/2025,Seychelles,204,W,30,17,7,4,1,0
09/09/2025,Gabon,87,D,8,3,0,6,3,0
05/09/2025,Burundi,142,W,14,5,1,1,0,0
10/06/2025,Canada,30,D,10,1,0,8,0,0
07/06/2025,New Zealand,85,L,13,4,0,2,1,1
24/03/2025,Gambia,116,W,5,3,1,8,3,0
21/03/2025,Burundi,142,W,9,3,1,3,0,0
19/11/2024,Chad,183,W,21,11,4,4,0,0
