Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,England,4,W,7,2,1,19,4,0
28/03/2026,Scotland,43,W,18,7,1,8,3,0
18/11/2025,Bolivia,76,W,10,6,3,13,0,0
14/11/2025,Ghana,74,W,14,5,2,7,2,0
14/10/2025,Brazil,6,W,15,6,3,8,4,2
10/10/2025,Paraguay,40,D,11,6,2,7,2,2
15/07/2025,South Korea,25,W,4,1,1,9,1,0
12/07/2025,China,94,W,17,7,2,7,3,0
08/07/2025,Hong Kong,155,W,25,16,6,9,3,1
10/06/2025,Indonesia,122,W,22,10,6,0,0,0
05/06/2025,Australia,27,L,13,1,0,6,3,1
25/03/2025,Saudi Arabia,61,D,12,2,0,1,0,0
20/03/2025,Bahrain,91,W,12,4,2,7,2,0
19/11/2024,China,94,W,11,5,3,8,3,1
15/11/2024,Indonesia,122,W,15,9,4,7,2,0
15/10/2024,Australia,27,D,13,3,1,6,0,1
10/10/2024,Saudi Arabia,61,W,7,3,2,9,2,0
10/09/2024,Bahrain,91,W,15,9,5,3,1,0
05/09/2024,China,94,W,15,8,7,0,0,0
11/06/2024,Syria,84,W,20,12,5,7,0,0
