Date,Opponent,Friendly? (Y or N),Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals,Source of Data
31/03/2026,Nigeria,Y,26,D,8,4,2,8,4,2,Match list/results: https://www.goal.com/en-gb/team/jordan/fixtures-results/btn8ibf55ovz7y252vdiprbip ; FIFA ranks: https://www.sofascore.com/football/rankings/fifa ; Shot stats blank where not verified
27/03/2026,Costa Rica,Y,51,D,6,3,2,4,3,2,Match list/results: https://www.goal.com/en-gb/team/jordan/fixtures-results/btn8ibf55ovz7y252vdiprbip ; FIFA ranks: https://www.sofascore.com/football/rankings/fifa ; Shot stats blank where not verified
18/12/2025,Morocco,N,8,L,13,4,2,19,8,3,Match list/results: https://www.goal.com/en-gb/team/jordan/fixtures-results/btn8ibf55ovz7y252vdiprbip ; FIFA ranks: https://www.sofascore.com/football/rankings/fifa ; Shot stats blank where not verified
15/12/2025,Saudi Arabia,N,61,W,6,5,1,8,1,0,Match list/results: https://www.goal.com/en-gb/team/jordan/fixtures-results/btn8ibf55ovz7y252vdiprbip ; FIFA ranks: https://www.sofascore.com/football/rankings/fifa ; Shot stats blank where not verified
12/12/2025,Iraq,N,57,W,6,4,1,21,3,0,Match list/results: https://www.goal.com/en-gb/team/jordan/fixtures-results/btn8ibf55ovz7y252vdiprbip ; FIFA ranks: https://www.sofascore.com/football/rankings/fifa ; Shot stats blank where not verified
09/12/2025,Egypt,N,29,W,16,6,3,20,7,0,Match list/results: https://www.goal.com/en-gb/team/jordan/fixtures-results/btn8ibf55ovz7y252vdiprbip ; FIFA ranks: https://www.sofascore.com/football/rankings/fifa ; Shot stats blank where not verified
03/12/2025,United Arab Emirates,N,68,W,11,6,2,8,2,1,Match list/results: https://www.goal.com/en-gb/team/jordan/fixtures-results/btn8ibf55ovz7y252vdiprbip ; FIFA ranks: https://www.sofascore.com/football/rankings/fifa ; Shot stats blank where not verified
10/06/2025,Iraq,N,57,L,6,4,0,21,3,1,Match list/results: https://www.goal.com/en-gb/team/jordan/fixtures-results/btn8ibf55ovz7y252vdiprbip ; FIFA ranks: https://www.sofascore.com/football/rankings/fifa ; Shot stats blank where not verified
05/06/2025,Oman,N,79,W,9,4,3,10,2,0,Match list/results: https://www.goal.com/en-gb/team/jordan/fixtures-results/btn8ibf55ovz7y252vdiprbip ; FIFA ranks: https://www.sofascore.com/football/rankings/fifa ; Shot stats blank where not verified
25/03/2025,South Korea,N,25,D,11,3,1,12,3,1,Match list/results: https://www.goal.com/en-gb/team/jordan/fixtures-results/btn8ibf55ovz7y252vdiprbip ; FIFA ranks: https://www.sofascore.com/football/rankings/fifa ; Shot stats blank where not verified
