Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Nigeria,26,D,8,4,2,8,4,2
27/03/2026,Costa Rica,51,D,6,3,2,4,3,2
18/12/2025,Morocco,8,L,9,4,2,15,5,3
15/12/2025,Saudi Arabia,61,W,6,5,1,8,1,0
12/12/2025,Iraq,57,W,6,4,1,21,3,0
09/12/2025,Egypt,29,W,16,6,3,20,7,0
06/12/2025,Kuwait,134,W,22,6,3,3,2,1
03/12/2025,United Arab Emirates,68,W,11,6,2,8,2,1
14/10/2025,Albania,64,L,14,6,2,12,5,4
04/09/2025,Russia,36,D,16,6,0,13,3,0
10/06/2025,Iraq,57,L,9,0,0,7,4,1
05/06/2025,Oman,79,W,9,4,3,10,2,0
25/03/2025,South Korea,25,D,11,3,1,12,3,1
20/03/2025,Palestine,95,W,10,5,3,11,3,1
