Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2026-03-31,Belgium,8,D,10,3,1,5,2,1
2026-03-28,Portugal,5,D,7,1,0,10,2,0
2026-02-25,Iceland,74,W,24,11,4,4,2,0
2026-01-25,Bolivia,76,W,3,2,1,13,4,0
2026-01-22,Panama,36,W,9,3,1,4,1,0
2025-11-18,Paraguay,37,L,9,3,1,14,7,2
2025-11-15,Uruguay,15,D,10,3,0,3,2,0
2025-10-14,Ecuador,24,D,13,4,1,7,5,1
2025-10-11,Colombia,13,L,10,2,0,7,4,4
2025-09-09,South Korea,23,D,17,6,2,8,3,2
2025-09-06,Japan,18,D,8,1,0,9,2,0
2025-07-06,USA,16,W,16,8,2,6,3,1
2025-07-02,Honduras,75,W,10,4,1,6,1,0
2025-06-28,Saudi Arabia,59,W,14,5,2,1,0,0
2025-06-22,Costa Rica,54,D,13,4,0,6,0,0
2025-06-18,Suriname,136,W,16,6,2,5,2,0
2025-06-14,Dominican Republic,140,W,15,9,3,12,5,2
2025-06-10,Turkey,26,W,6,3,1,17,1,0
2025-06-07,Switzerland,20,L,10,5,2,15,6,4
2025-03-23,Panama,36,W,15,5,2,8,4,1
