Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Paraguay,39,W,6,4,2,11,7,1
27/03/2026,Ecuador,23,D,12,3,1,8,2,1
18/01/2026,Senegal,14,L,21,4,0,14,7,1
14/01/2026,Nigeria,26,D,16,5,0,2,1,0
09/01/2026,Cameroon,45,W,9,3,2,5,0,0
04/01/2026,Tanzania,108,W,12,4,1,4,1,0
29/12/2025,Zambia,85,W,19,9,3,5,0,0
26/12/2025,Mali,54,D,15,4,1,5,1,1
21/12/2025,Comoros,105,W,16,7,2,4,2,0
18/12/2025,Jordan,60,W,15,5,3,9,4,2
15/12/2025,United Arab Emirates,67,W,10,7,3,12,2,0
11/12/2025,Syria,84,W,21,8,1,6,1,0
08/12/2025,Saudi Arabia,58,W,9,0,1,3,2,0
05/12/2025,Oman,79,D,6,1,0,6,0,0
02/12/2025,Comoros,105,W,13,5,3,11,3,1
18/11/2025,Uganda,89,W,11,3,4,2,1,0
14/11/2025,Mozambique,97,W,18,5,1,3,0,0
14/10/2025,Congo,114,W,18,5,1,1,0,0
09/10/2025,Bahrain,82,W,29,2,1,2,0,0
08/09/2025,Zambia,85,W,19,9,2,5,0,0
