Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2025-11-17,Lithuania,148,W,20,8,4,9,1,0
2025-11-14,Poland,35,D,8,3,1,12,5,1
2025-10-12,Finland,73,W,17,6,4,7,3,0
2025-10-09,Malta,161,W,22,8,4,7,0,0
2025-09-07,Lithuania,148,W,14,7,3,4,3,2
2025-09-04,Poland,35,D,14,5,1,6,2,1
2025-06-10,Malta,161,W,27,9,8,5,2,0
2025-06-07,Finland,73,W,17,6,2,5,2,0
2025-03-23,Spain,2,D,16,9,3,19,9,3
2025-03-20,Spain,2,D,10,4,2,15,6,2
2024-11-19,Bosnia & Herzegovina,65,D,12,2,1,8,3,1
2024-11-16,Hungary,42,W,22,11,4,12,2,0
2024-10-14,Germany,10,L,3,1,0,13,5,1
2024-10-11,Hungary,42,D,16,4,1,5,1,1
2024-09-10,Germany,10,D,11,4,2,21,5,2
2024-09-07,Bosnia & Herzegovina,65,W,28,9,5,4,3,2
2024-07-10,England,4,L,7,2,1,9,5,2
2024-07-06,Turkey,22,W,11,4,2,15,4,1
2024-07-02,Romania,56,W,23,6,3,5,1,0
2024-06-25,Austria,24,L,11,2,2,9,5,3
