Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
30/03/2026,Chile,55,W,12,7,4,5,4,1
27/03/2026,Finland,75,L,11,2,0,10,3,2
18/11/2025,Ecuador,23,L,10,2,0,24,8,2
15/11/2025,Colombia,13,L,10,3,1,22,8,2
14/10/2025,Norway,33,D,9,5,1,23,6,1
09/10/2025,Poland,30,L,11,2,0,15,3,1
09/09/2025,Australia,27,L,8,4,1,13,6,3
05/09/2025,Australia,27,L,9,4,0,7,3,1
10/06/2025,Ukraine,32,L,4,3,1,17,11,2
07/06/2025,Cote d'Ivoire,45,W,2,1,1,13,4,0
10/09/2024,USA,16,D,9,4,1,18,6,1
07/09/2024,Mexico,14,L,3,2,0,13,9,3
