Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2026-03-31,Switzerland,19,D,5,1,0,10,1,0
2026-03-27,Netherlands,7,L,5,2,1,14,5,2
2025-11-16,Italy,12,W,13,5,4,15,4,1
2025-11-13,Estonia,129,W,18,7,4,6,3,1
2025-10-14,New Zealand,85,D,23,6,1,9,5,1
2025-10-11,Israel,77,W,16,5,5,4,1,0
2025-09-09,Moldova,159,W,34,18,11,2,0,1
2025-09-04,Finland,73,W,14,2,1,3,1,0
2025-06-09,Estonia,129,W,18,3,1,6,0,0
2025-06-06,Italy,12,W,9,5,3,8,3,0
2025-03-25,Israel,77,W,11,6,4,14,5,2
2025-03-22,Moldova,159,W,24,8,5,10,4,0
2024-11-17,Kazakhstan,110,W,24,9,5,8,0,0
2024-11-14,Slovenia,58,W,14,7,4,8,3,1
2024-10-13,Austria,24,L,8,1,1,16,10,5
2024-10-10,Slovenia,58,W,25,14,3,11,2,0
2024-09-09,Austria,24,W,6,2,2,9,4,1
2024-09-06,Kazakhstan,110,D,19,2,0,4,0,0
2024-06-08,Denmark,20,L,7,3,1,11,6,3
2024-06-05,Kosovo,78,W,13,4,3,9,0,0
