Date,Opponent,Friendly? (Y or N),Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals,Source of Data
23/01/2026,Mexico,Y,15,L,4,1,0,9,3,1,365Scores match report/stats
19/11/2025,El Salvador,N,100,W,21,10,3,6,1,0,365Scores match report/stats
14/11/2025,Guatemala,N,96,W,10,5,3,24,8,2,365Scores match report/stats
15/10/2025,Suriname,N,125,D,28,8,1,8,4,1,365Scores/fixture result listing
11/10/2025,El Salvador,N,100,W,21,10,1,7,2,0,ESPN fixture summary
24/06/2025,Jamaica,N,71,W,8,4,4,15,5,1,365Scores match report/stats
21/06/2025,Guatemala,N,96,W,21,8,1,3,1,0,365Scores match report/stats
11/06/2025,Nicaragua,N,131,W,12,6,3,7,1,0,365Scores match report/stats
08/06/2025,Belize,N,180,W,17,5,2,5,0,0,365Scores match report/stats
06/07/2024,Colombia,N,13,L,14,3,0,7,5,5,Reuters match report
