Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2026-03-31,United States,16,W,11,5,2,12,3,0
2026-03-28,Mexico,15,D,10,2,0,7,1,0
2025-11-16,Armenia,106,W,34,15,9,4,2,1
2025-11-13,Republic of Ireland,59,L,27,5,0,14,3,2
2025-10-14,Hungary,42,D,20,8,2,17,7,2
2025-10-11,Republic of Ireland,59,W,30,6,1,2,0,0
2025-09-09,Hungary,42,W,15,7,3,5,2,2
2025-09-06,Armenia,106,W,24,9,5,7,3,0
2025-06-08,Spain,2,D,7,2,2,16,6,2
2025-06-04,Germany,10,W,17,6,2,9,5,1
2025-03-23,Denmark,20,W,18,11,5,14,4,2
2025-03-20,Denmark,20,L,8,2,0,23,9,1
2024-11-18,Croatia,11,D,12,5,1,15,8,1
2024-11-15,Poland,35,W,19,6,5,12,5,1
2024-10-15,Scotland,43,D,14,3,0,4,2,0
2024-10-12,Poland,35,W,18,6,3,12,4,1
2024-09-08,Scotland,43,W,26,7,2,5,2,1
2024-09-05,Croatia,11,W,15,6,2,13,4,1
2024-07-05,France,1,D,15,4,0,20,5,0
2024-07-01,Slovenia,58,D,20,6,0,10,2,0
