Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
07/12/2025,Tunisia,44,L,12,4,0,13,7,3
04/12/2025,Syria,84,D,17,5,1,6,2,1
01/12/2025,Palestine,95,L,7,1,0,3,1,1
14/10/2025,United Arab Emirates,68,W,7,4,2,15,9,1
08/10/2025,Oman,79,D,13,2,0,6,1,0
03/09/2025,Bahrain,91,D,10,4,2,12,6,2
10/06/2025,Uzbekistan,50,L,1,0,0,18,8,3
05/06/2025,Iran,21,W,6,3,1,6,3,0
25/03/2025,Kyrgyzstan,107,L,9,4,1,14,5,3
20/03/2025,North Korea,118,W,12,9,5,12,6,1
27/12/2024,Kuwait,134,D,18,5,1,9,5,1
24/12/2024,Oman,79,L,10,2,1,9,2,2
21/12/2024,United Arab Emirates,68,D,3,2,1,13,4,1
19/11/2024,United Arab Emirates,68,L,10,0,0,10,7,5
14/11/2024,Uzbekistan,50,W,11,8,3,21,9,2
15/10/2024,Iran,21,L,11,1,1,18,8,4
10/10/2024,Kyrgyzstan,107,W,32,8,3,8,3,1
10/09/2024,North Korea,118,D,19,6,2,11,5,2
05/09/2024,United Arab Emirates,68,L,8,1,1,9,4,3
11/06/2024,India,136,W,18,8,2,9,2,1
