Date,Opponent,Friendly? (Y or N),Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals,Source of Data
31/03/2026,Serbia,Y,39,L,3,1,1,23,10,2,https://www.espn.com/soccer/match/_/gameId/741796/serbia-saudi-arabia ; https://inside.fifa.com/fifa-world-ranking/SRB?gender=men
27/03/2026,Egypt,Y,31,L,7,0,0,13,8,4,https://www.skysports.com/football/saudi-arabia-vs-egypt/stats/538267 ; https://inside.fifa.com/fifa-world-ranking/EGY?gender=men
18/12/2025,United Arab Emirates,N,68,D,7,1,0,7,2,0,https://www.beinsports.com/en-us/football/fifa-arab-cup-qatar-2025/match/saudi-arabia-vs-united-arab-emirates-2025-12-18-2332018 ; https://inside.fifa.com/fifa-world-ranking/UAE?gender=men
08/12/2025,Morocco,N,8,L,12,1,0,4,3,1,https://www.livescores.biz/match/morocco-saudi-arabia/1761631 ; https://inside.fifa.com/fifa-world-ranking/MAR?gender=men
05/12/2025,Comoros,N,106,W,18,5,3,6,2,1,https://www.beinsports.com/en-us/football/fifa-arab-cup-qatar-2025/match/comoros-vs-saudi-arabia-2025-12-05-2332019 ; https://inside.fifa.com/fifa-world-ranking/COM?gender=men
02/12/2025,Oman,N,79,W,14,5,2,6,3,1,https://www.beinsports.com/en-us/football/fifa-arab-cup-qatar-2025/match/saudi-arabia-vs-oman-2025-12-02-2331986 ; https://inside.fifa.com/fifa-world-ranking/OMA?gender=men
18/11/2025,Algeria,Y,28,L,6,2,0,10,4,2,https://www.skysports.com/football/saudi-arabia-vs-algeria/stats/526662 ; https://inside.fifa.com/fifa-world-ranking/ALG?gender=men
14/10/2025,Iraq,N,58,D,15,4,0,4,,0,https://www.beinsports.com/en-us/football/fifa-world-cup-qualifiers-2026/match/saudi-arabia-vs-iraq-2025-10-14-2328621 ; https://inside.fifa.com/fifa-world-ranking/IRQ?gender=men
08/10/2025,Indonesia,N,122,W,17,10,3,10,5,2,https://footystats.org/international/saudi-arabia-national-team-vs-indonesia-national-team-h2h-stats ; https://inside.fifa.com/fifa-world-ranking/IDN?gender=men
08/09/2025,Czechia,Y,43,D,9,5,1,6,1,1,https://www.beinsports.com/en-us/football/international-friendlys/match/czech-republic-vs-saudi-arabia-2025-09-08-2329544 ; https://inside.fifa.com/fifa-world-ranking/CZE?gender=men
14/11/2024,Australia,N,27,D,3,1,0,13,2,0,https://www.beinsports.com/en-us/football/fifa-world-cup-qualifiers-2026/match/australia-vs-saudi-arabia-2024-11-14-2287385 ; https://inside.fifa.com/fifa-world-ranking/AUS?gender=men
15/10/2024,Bahrain,N,90,D,13,4,0,5,,0,https://www.beinsports.com/en-us/football/fifa-world-cup-qualifiers-2026/match/saudi-arabia-vs-bahrain-2024-10-15-2287387 ; https://inside.fifa.com/fifa-world-ranking/BHR?gender=men
05/09/2024,Indonesia,N,122,D,18,4,1,8,2,1,https://www.beinsports.com/en-us/football/fifa-world-cup-qualifiers-2026/match/saudi-arabia-vs-indonesia-2024-09-05-2287382 ; https://inside.fifa.com/fifa-world-ranking/IDN?gender=men
