Date,Opponent,Friendly? (Y or N),Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals,Source of Data
31/03/2026,Gambia,Y,116,W,16,9,3,11,4,1,365Scores / Flashscore match stats
18/01/2026,Morocco,N,8,W,13,7,1,20,4,0,Coaches' Voice match stats; result later subject to CAF disciplinary ruling
14/01/2026,Egypt,N,31,W,12,4,1,3,1,0,365Scores match report
09/01/2026,Mali,N,,W,19,8,1,8,2,0,Flashscore match stats (actual data found): Total shots 8-19; shots on target 2-8
03/01/2026,Sudan,N,117,W,14,8,3,9,2,1,Flashscore match stats (actual data found): Total shots 14-9; shots on target not found
30/12/2025,Benin,N,,W,10,6,3,7,4,0,365Scores match report
27/12/2025,DR Congo,N,,D,11,3,1,7,3,1,365Scores match report
23/12/2025,Botswana,N,,W,28,17,3,4,0,0,ESPN / 365Scores / Reuters match report
10/10/2025,South Sudan,N,,W,5,5,5,0,0,0,Flashscore match stats (actual data found): Total shots 0-5; shots on target 0-5
10/06/2025,England,Y,,W,11,6,3,9,3,1,Flashscore match stats (actual data found): Total shots 9-11; shots on target not found on Flashscore snippet
