Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Panama,33,L,7,2,1,11,5,2
27/03/2026,Panama,33,D,12,5,1,3,2,1
04/01/2026,Cameroon,45,L,18,4,1,10,4,2
29/12/2025,Zimbabwe,130,W,16,9,3,10,3,2
26/12/2025,Egypt,29,L,18,6,0,6,3,1
22/12/2025,Angola,89,W,10,4,2,10,4,1
15/11/2025,Zambia,92,W,14,6,3,5,1,1
14/10/2025,Rwanda,128,W,12,6,3,2,0,0
10/10/2025,Zimbabwe,130,D,10,2,0,3,2,0
09/09/2025,Nigeria,26,D,8,4,1,4,2,1
05/09/2025,Lesotho,145,W,10,10,3,8,2,0
18/08/2025,Uganda,88,D,11,5,3,12,4,3
15/08/2025,Niger,114,D,9,5,0,11,2,0
11/08/2025,Guinea,80,W,6,2,2,21,2,1
08/08/2025,Algeria,28,D,7,2,1,14,4,1
25/03/2025,Benin,90,W,7,5,2,4,1,0
