Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Austria,24,L,11,2,0,5,1,1
28/03/2026,Cote d'Ivoire,34,L,12,2,0,13,8,4
18/11/2025,Ghana,74,W,7,4,1,12,1,0
14/11/2025,Bolivia,76,W,12,5,2,6,4,0
14/10/2025,Paraguay,40,W,8,3,2,10,1,0
10/10/2025,Brazil,6,L,4,1,0,14,7,5
09/09/2025,Mexico,15,D,8,3,2,17,6,2
06/09/2025,United States,16,W,5,4,2,17,5,0
15/07/2025,Japan,18,L,9,1,0,4,1,1
11/07/2025,Hong Kong,155,W,20,6,2,3,0,0
07/07/2025,China,94,W,15,7,3,5,0,0
10/06/2025,Kuwait,134,W,25,8,4,6,0,0
05/06/2025,Iraq,57,W,13,7,2,5,2,0
25/03/2025,Jordan,63,D,12,3,1,11,3,1
20/03/2025,Oman,79,D,10,3,1,5,2,1
19/11/2024,Palestine,95,D,17,5,1,6,2,1
14/11/2024,Kuwait,134,W,14,5,3,4,1,1
15/10/2024,Iraq,57,W,7,3,3,8,2,2
10/10/2024,Jordan,63,W,13,5,2,13,2,0
10/09/2024,Oman,79,W,16,8,3,8,1,1
