Date,Opponent,Rank,Result,Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31-Mar-26,Egypt,34,D,22,7,0,4,1,0
27-Mar-26,Serbia,33,W,14,8,3,2,2,0
18-Nov-25,Türkiye,26,D,21,9,2,13,7,2
15-Nov-25,Georgia,74,W,14,7,4,6,2,0
14-Oct-25,Bulgaria,72,W,33,11,4,3,0,0
11-Oct-25,Georgia,74,W,21,12,2,5,1,0
07-Sep-25,Türkiye,26,W,21,12,6,11,2,0
04-Sep-25,Bulgaria,72,W,24,12,3,3,0,0
08-Jun-25,Portugal,6,D,16,6,2,7,2,2
05-Jun-25,France,2,W,16,9,5,24,8,4
23-Mar-25,Netherlands,7,D,17,8,3,17,11,3
20-Mar-25,Netherlands,7,D,15,6,2,10,4,2
18-Nov-24,Switzerland,19,W,21,10,3,11,4,2
15-Nov-24,Denmark,22,W,11,4,2,10,3,1
15-Oct-24,Serbia,33,W,25,10,3,3,1,0
12-Oct-24,Denmark,22,W,25,6,1,3,1,0
08-Sep-24,Switzerland,19,W,10,8,4,18,3,1
05-Sep-24,Serbia,33,D,22,6,0,9,2,0
14-Jul-24,England,5,W,15,7,2,9,3,1
09-Jul-24,France,2,W,6,2,2,9,3,1
