Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Poland,35,W,15,7,3,9,5,2
26/03/2026,Ukraine,32,W,10,4,3,10,4,1
18/11/2025,Slovenia,51,D,11,2,1,17,3,1
15/11/2025,Switzerland,17,L,6,3,1,9,7,4
13/10/2025,Kosovo,84,L,13,4,0,7,3,1
10/10/2025,Switzerland,17,L,7,0,0,17,8,2
08/09/2025,Kosovo,84,L,14,5,0,11,5,2
05/09/2025,Slovenia,51,D,14,2,2,9,4,2
10/06/2025,Algeria,36,W,12,9,4,17,6,3
06/06/2025,Hungary,39,W,13,6,2,15,5,0
25/03/2025,Northern Ireland,70,W,16,6,5,14,5,1
19/11/2024,Azerbaijan,117,W,34,14,6,4,3,0
16/11/2024,Slovakia,45,W,16,8,2,6,2,1
14/10/2024,Estonia,123,W,19,10,3,4,0,0
08/09/2024,Estonia,123,W,34,11,3,5,2,0
05/09/2024,Azerbaijan,117,W,30,11,3,14,9,1
08/06/2024,Serbia,32,L,20,9,0,8,4,3
05/06/2024,Denmark,21,L,10,2,1,20,9,2
