Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2025-11-18,Kosovo,97,D,6,3,1,11,4,1
2025-11-15,Sweden,38,W,9,7,4,6,3,1
2025-10-13,Slovenia,58,D,11,3,0,4,0,0
2025-10-10,Sweden,38,W,13,6,2,7,1,0
2025-09-08,Slovenia,58,W,12,6,3,6,1,0
2025-09-05,Kosovo,97,W,10,5,4,7,1,0
2025-06-10,USA,16,W,11,6,4,6,0,0
2025-06-07,Mexico,15,W,15,6,4,10,5,2
2024-11-18,Spain,2,L,11,4,2,21,10,3
2024-11-15,Serbia,39,D,19,7,1,7,2,1
2024-10-15,Denmark,20,D,14,3,2,8,5,2
2024-10-12,Serbia,39,L,11,4,0,7,4,2
2024-09-08,Spain,2,L,20,3,1,9,8,4
2024-09-05,Denmark,20,L,5,1,0,17,8,2
2024-07-06,England,4,D,11,3,1,13,3,1
2024-06-29,Italy,9,W,16,4,2,11,1,0
2024-06-23,Germany,7,D,4,3,1,18,3,1
2024-06-19,Scotland,43,D,11,4,1,12,3,1
2024-06-15,Hungary,42,W,15,7,3,6,2,1
2024-06-08,Austria,24,D,4,2,1,11,3,1
