Date,Opponent,Friendly? (Y or N),Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Algeria,Y,28,D,11,1,0,6,0,0
27/03/2026,England,Y,4,D,9,1,1,13,5,1
18/11/2025,USA,Y,16,L,9,2,1,10,7,5
15/11/2025,Mexico,Y,15,D,3,2,0,10,3,0
13/10/2025,Uzbekistan,Y,50,W,13,4,2,7,2,1
10/10/2025,Dominican Republic,Y,143,W,11,1,1,7,4,0
09/09/2025,Chile,N,54,D,6,3,0,16,3,0
04/09/2025,Peru,N,53,W,24,7,3,11,3,0
10/06/2025,Venezuela,N,49,W,12,5,2,10,1,0
05/06/2025,Paraguay,N,40,L,5,1,0,12,5,2
25/03/2025,Bolivia,N,76,D,11,0,0,32,7,0
21/03/2025,Argentina,N,3,L,6,2,0,12,4,1
19/11/2024,Brazil,N,6,D,8,2,1,18,3,1
