Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Portugal,5,L,12,3,0,11,5,2
28/03/2026,Belgium,9,L,5,3,2,21,10,5
18/11/2025,Uruguay,15,W,10,7,5,9,2,1
15/11/2025,Paraguay,39,W,8,4,2,8,3,1
14/10/2025,Australia,24,W,10,5,2,8,3,1
10/10/2025,Ecuador,23,D,8,4,1,8,1,1
09/09/2025,Japan,18,W,19,11,2,11,6,0
06/09/2025,South Korea,22,L,15,4,0,5,4,2
06/07/2025,Mexico,14,L,6,3,1,16,8,2
02/07/2025,Guatemala,106,W,12,7,2,20,5,1
29/06/2025,Costa Rica,54,D,18,4,2,7,3,2
22/06/2025,Haiti,83,W,15,5,2,8,3,1
19/06/2025,Saudi Arabia,58,W,6,3,1,3,1,0
15/06/2025,Trinidad and Tobago,102,W,21,11,5,3,2,0
10/06/2025,Switzerland,20,L,7,0,0,12,7,4
07/06/2025,Turkey,26,L,13,3,1,11,5,2
23/03/2025,Canada,30,L,5,2,1,9,4,2
20/03/2025,Panama,35,L,12,5,0,3,1,1
22/01/2025,Costa Rica,54,W,9,5,3,8,4,0
18/01/2025,Venezuela,49,W,10,7,3,6,2,1
