Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
30/03/2026,Venezuela,49,D,8,5,0,4,0,0
27/03/2026,Gabon,87,W,15,8,3,11,5,1
18/11/2025,Iran,21,D,6,1,0,10,2,0
13/10/2025,Uruguay,17,L,7,2,1,13,4,2
10/06/2025,Qatar,55,W,18,8,3,1,0,0
05/06/2025,United Arab Emirates,68,D,4,0,0,10,6,0
25/03/2025,Iran,21,D,13,4,2,20,8,2
20/03/2025,Kyrgyzstan,107,W,26,9,1,1,0,0
19/11/2024,North Korea,118,W,17,2,1,17,2,0
14/11/2024,Qatar,55,L,21,9,2,11,8,3
15/10/2024,United Arab Emirates,68,W,26,4,1,12,5,0
10/10/2024,Iran,21,D,10,1,0,10,5,0
10/09/2024,Kyrgyzstan,107,W,18,10,3,13,3,2
05/09/2024,North Korea,118,W,13,4,1,8,4,0
